# بيانات تدريب مصنّف النية — عربي فصيح/عامي سوري + إنكليزي + مختلط.
# الصيغة: النص ||| النية   (سطر فارغ أو يبدأ بـ# يُتجاهل)
# 9 نوايا مغلقة فقط (CLAUDE.md). REFERENCE_TAG = __مكان_مشار_اليه__

# ---------------------------------------------------------------------- search
اقترحلي مطاعم بحلب ||| search
بدي اماكن طبيعه هاديه ||| search
شو في اماكن حلوه بالاذقيه ||| search
دلوني على اماكن سياحيه بدمشق ||| search
وين احلى اماكن تاريخيه بالبلد ||| search
بدي روح ع مكان حلو بس ما بعرف وين ||| search
بدي سافر بس ما بعرف لوين ||| search
بدي سافر ما بعرف على وين بالضبط ||| search
i want to travel but i don't know where ||| search
عندك اقتراحات لاماكن بحريه بطرطوس ||| search
بدي توصيات ||| search
عطيني توصيات ||| search
شو توصياتك ||| search
بدي توصيات لاماكن حلوه ||| search
give me some recommendations ||| search
any recommendations for places to visit ||| search
شو انصحني زور بحمص ||| search
بدي اماكن للعيله بحلب ||| search
وريني اماكن رومانسيه بدمشق ||| search
شو في اسواق حلوه بحلب ||| search
اقترح علي متاحف بدمشق ||| search
بدي اماكن مغامرات بريف دمشق ||| search
فيه شواطئ حلوه باللاذقيه ||| search
شو احلى مطاعم بحلب القديمه ||| search
عايز اماكن هادية للاستجمام ||| search
بدي زياره اماكن دينيه بدمشق ||| search
شو الاماكن يلي لازم زورها بتدمر ||| search
اقترحلي رحله ليوم واحد قريبه من دمشق ||| search
بدي اماكن اكل شامي اصيل ||| search
وين احلى مكان اطلع فيه مع صحابي ||| search
شو عندكن اماكن للاطفال بدمشق ||| search
دلني على مكان هادي بعيد عن الزحمه ||| search
بدي اماكن طبيعيه بريف اللاذقيه ||| search
شو في قلاع تاريخيه بحمص ||| search
وين بقدر اطلع مع خطيبتي بدمشق ||| search
اقترحلي اماكن تاريخيه بدمشق ||| search
شو في اماكن حلوه قريبه من طرطوس ||| search
بدي مكان اقتصادي احلى فيه ||| search
دلوني على مكان فخم لعشاء رومانسي ||| search
suggest historical places in damascus ||| search
what are good places to visit in aleppo ||| search
recommend quiet nature spots near latakia ||| search
any good restaurants in old damascus ||| search
show me family friendly places in tartus ||| search
i want to explore markets in aleppo ||| search
suggest romantic places for couples in damascus ||| search
where can i see ancient ruins near homs ||| search
what should i visit in palmyra ||| search
give me some ideas for a day trip ||| search
بدي مكان لل family قريب من latakia ||| search
suggest اماكن تاريخيه بدمشق ||| search
وين احسن sea spots بطرطوس ||| search
any museums حلوه بدمشق ||| search
recommend مطاعم شاميه اصيله ||| search

# --------------------------------------------------------------------- details
شو قصة __مكان_مشار_اليه__ ||| details
حدثني عنه أكتر ||| details
شو اوقات دوامه ||| details
tell me more about the first one ||| details
شو قصة التاني ||| details
what are its opening hours ||| details
هل هو مفتوح اليوم ||| details
شو سعر الدخول لـ __مكان_مشار_اليه__ ||| details
وين موقع __مكان_مشار_اليه__ بالضبط ||| details
شو رقم هاتف __مكان_مشار_اليه__ ||| details
كم بتاخد زيارته وقت ||| details
is it open on friday ||| details
what time does it close ||| details
شو مميزات __مكان_مشار_اليه__ ||| details
احكيلي اكتر عن هالمكان ||| details
مفتوح يوم الاثنين ولا لا ||| details
شو افضل وقت لزيارة __مكان_مشار_اليه__ ||| details
tell me about __مكان_مشار_اليه__ ||| details
عطيني تفاصيل اكتر عنه ||| details
عطيني معلومات عن قلعة حلب ||| details
بدي معلومات عن الجامع الاموي ||| details
احكيلي عن قلعة دمشق ||| details
شو بيميز التالت عن غيره ||| details
هل يحتاج حجز مسبق ||| details
what's the phone number for it ||| details
شو موقعه بالخارطه ||| details
كم ساعة بتلزم لزيارة القلعة ||| details
is the umayyad mosque open now ||| details
شو قصة قلعة الحصن ||| details
احكيلي عن سوق الحميدية ||| details
what's special about palmyra ||| details
هل مناسب لزيارة العائلة هالمكان ||| details
عندك صور اكتر عن المكان ||| details
شو رأي الناس فيه ||| details
رح كم نجمة تقييمه ||| details
شو الموسم الافضل لزيارته ||| details
can you tell me its visiting hours ||| details
شو احسن وقت باليوم لزيارة __مكان_مشار_اليه__ ||| details
is palmyra worth visiting ||| details
is it worth visiting ||| details
is __مكان_مشار_اليه__ worth visiting ||| details

# --------------------------------------------------------------------- compare
ايهن احسن الاول ولا التالت ||| compare
which is better for families ||| compare
شو الفرق بين قلعة الحصن وقلعة صلاح الدين ||| compare
